,time,open,high,low,close,tick_volume,spread,real_volume
599,2025-04-15 04:00:00,3211.77,3225.86,3210.01,3223.66,3947,17,0
600,2025-04-15 05:00:00,3223.72,3225.04,3218.83,3224.42,3294,17,0
601,2025-04-15 06:00:00,3224.29,3228.87,3223.28,3228.29,3071,5,0
602,2025-04-15 07:00:00,3228.31,3232.68,3226.84,3231.88,2719,11,0
603,2025-04-15 08:00:00,3231.87,3232.15,3221.0,3224.59,3472,5,0
604,2025-04-15 09:00:00,3224.48,3228.68,3223.22,3224.98,3271,5,0
605,2025-04-15 10:00:00,3225.05,3226.47,3217.44,3225.62,3623,7,0
606,2025-04-15 11:00:00,3225.68,3232.11,3224.37,3227.66,3699,6,0
607,2025-04-15 12:00:00,3227.73,3230.14,3221.19,3222.52,3249,7,0
608,2025-04-15 13:00:00,3222.58,3226.91,3219.7,3220.25,3112,18,0
609,2025-04-15 14:00:00,3220.24,3224.06,3216.86,3219.89,3397,16,0
610,2025-04-15 15:00:00,3220.2,3226.03,3214.23,3221.48,3908,5,0
611,2025-04-15 16:00:00,3221.44,3226.31,3211.62,3213.12,4405,7,0
612,2025-04-15 17:00:00,3213.23,3226.82,3213.23,3222.65,4400,9,0
613,2025-04-15 18:00:00,3222.63,3224.1,3216.89,3221.29,3858,5,0
614,2025-04-15 19:00:00,3221.33,3223.34,3219.45,3221.4,3428,5,0
615,2025-04-15 20:00:00,3221.39,3230.69,3220.38,3227.98,3537,11,0
616,2025-04-15 21:00:00,3228.07,3229.77,3225.68,3229.16,3306,5,0
617,2025-04-15 22:00:00,3229.16,3231.85,3226.21,3229.87,3302,18,0
618,2025-04-15 23:00:00,3230.1,3233.57,3226.49,3229.36,1872,16,0
619,2025-04-16 01:00:00,3230.96,3242.23,3229.84,3241.47,2335,5,0
620,2025-04-16 02:00:00,3241.52,3251.82,3238.36,3251.82,3330,14,0
621,2025-04-16 03:00:00,3251.78,3267.99,3251.63,3264.44,4707,5,0
622,2025-04-16 04:00:00,3264.52,3274.98,3256.08,3270.23,5064,8,0
623,2025-04-16 05:00:00,3270.64,3275.35,3266.99,3267.75,4119,5,0
624,2025-04-16 06:00:00,3267.75,3281.7,3266.19,3281.44,3747,5,0
625,2025-04-16 07:00:00,3281.39,3287.59,3269.32,3283.65,3858,7,0
626,2025-04-16 08:00:00,3283.69,3291.67,3283.62,3289.72,4143,5,0
627,2025-04-16 09:00:00,3289.56,3295.06,3286.11,3291.81,4656,7,0
628,2025-04-16 10:00:00,3291.82,3300.61,3291.34,3300.45,4787,7,0
629,2025-04-16 11:00:00,3300.23,3317.76,3288.62,3306.96,5590,5,0
630,2025-04-16 12:00:00,3306.93,3310.85,3300.16,3303.46,4469,7,0
631,2025-04-16 13:00:00,3303.52,3306.81,3299.63,3304.11,3984,8,0
632,2025-04-16 14:00:00,3304.12,3313.7,3293.17,3306.86,4501,5,0
633,2025-04-16 15:00:00,3306.71,3313.29,3302.52,3307.31,4860,13,0
634,2025-04-16 16:00:00,3307.54,3316.45,3296.92,3311.59,5511,5,0
635,2025-04-16 17:00:00,3311.74,3319.49,3306.26,3308.42,5660,5,0
636,2025-04-16 18:00:00,3308.43,3328.11,3305.24,3325.28,5319,5,0
637,2025-04-16 19:00:00,3325.3,3333.02,3321.48,3327.24,4983,5,0
638,2025-04-16 20:00:00,3327.31,3332.8,3324.48,3328.19,5022,5,0
639,2025-04-16 21:00:00,3328.08,3340.73,3326.42,3338.36,4831,5,0
640,2025-04-16 22:00:00,3338.39,3342.47,3335.99,3336.46,4777,5,0
641,2025-04-16 23:00:00,3336.59,3342.94,3334.47,3342.85,2645,9,0
642,2025-04-17 01:00:00,3343.19,3357.65,3342.85,3351.05,3419,5,0
643,2025-04-17 02:00:00,3351.22,3353.44,3346.96,3350.14,2931,18,0
644,2025-04-17 03:00:00,3350.17,3351.3,3342.02,3345.07,4318,11,0
645,2025-04-17 04:00:00,3345.42,3356.26,3320.87,3323.9,5253,5,0
646,2025-04-17 05:00:00,3323.83,3340.66,3321.15,3340.52,4611,15,0
647,2025-04-17 06:00:00,3340.41,3344.51,3337.56,3344.51,3854,15,0
648,2025-04-17 07:00:00,3344.51,3344.51,3337.82,3341.47,3338,15,0
649,2025-04-17 08:00:00,3341.58,3345.4,3328.42,3329.4,3886,11,0
650,2025-04-17 09:00:00,3329.5,3332.95,3325.16,3328.87,4588,5,0
651,2025-04-17 10:00:00,3328.86,3329.96,3314.23,3323.48,4700,5,0
652,2025-04-17 11:00:00,3323.34,3324.79,3312.99,3324.23,4167,11,0
653,2025-04-17 12:00:00,3324.19,3326.86,3320.65,3321.63,3691,5,0
654,2025-04-17 13:00:00,3321.61,3333.85,3321.07,3327.51,3947,16,0
655,2025-04-17 14:00:00,3327.61,3332.47,3322.42,3327.47,3996,17,0
656,2025-04-17 15:00:00,3327.42,3342.17,3322.3,3328.15,4831,5,0
657,2025-04-17 16:00:00,3328.34,3331.96,3311.96,3314.81,5230,5,0
658,2025-04-17 17:00:00,3314.89,3314.89,3283.84,3291.18,5626,5,0
659,2025-04-17 18:00:00,3291.31,3304.74,3290.86,3296.32,5060,5,0
660,2025-04-17 19:00:00,3296.8,3318.65,3294.96,3316.04,4944,5,0
661,2025-04-17 20:00:00,3316.17,3322.35,3314.32,3318.94,4354,15,0
662,2025-04-17 21:00:00,3319.0,3320.87,3314.36,3316.46,3800,18,0
663,2025-04-17 22:00:00,3316.45,3321.87,3311.01,3320.73,4009,18,0
664,2025-04-17 23:00:00,3320.73,3328.73,3317.98,3327.24,2300,5,0
665,2025-04-21 01:00:00,3332.92,3353.09,3329.03,3346.03,4162,5,0
666,2025-04-21 02:00:00,3346.25,3351.6,3343.45,3348.05,3586,17,0
667,2025-04-21 03:00:00,3348.28,3370.48,3347.49,3368.73,4542,8,0
668,2025-04-21 04:00:00,3368.38,3378.45,3367.29,3377.53,4975,5,0
669,2025-04-21 05:00:00,3377.55,3384.97,3374.21,3384.71,4535,17,0
